Продукт,Калорийность,Белки,Жиры,Углеводы
Антилопа,114 кКал,"22,38 г","2,03 г",0 г
"Антилопа, запеченная",150 кКал,"29,45 г","2,67 г",0 г
Баранина 1 кат.,209 кКал,"15,6 г","16,3 г",0 г
Баранина 2 кат.,166 кКал,"19,8 г","9,6 г",0 г
"Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, жаренная",231 кКал,"25,25 г","13,69 г",0 г
"Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, сырая",201 кКал,"18,59 г","13,48 г",0 г
"Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, жаренная",182 кКал,"27,18 г","7,27 г",0 г
"Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, сырая",133 кКал,"20,45 г","5,1 г",0 г
"Баранина австралийская, Мясной набор, мясо и жир, обрезь до 1/8'' жира, вареная",256 кКал,"24,52 г","16,82 г",0 г
"Баранина австралийская, мясной набор, мясо и жир, обрезь до 1/8'' жира, сырая",229 кКал,"17,84 г","16,97 г",0 г
"Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, вареная",201 кКал,"26,71 г","9,63 г",0 г
"Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, сырая",142 кКал,"20,25 г","6,18 г",0 г
"Баранина австралийская, нога передняя с лопаткой, мясо и жир, обрезь до 1/8'' жира, вареная",296 кКал,"23,58 г","21,65 г",0 г
"Баранина австралийская, нога передняя с лопаткой, только мясо, обрезь до 1/8'' жира, вареная",233 кКал,"26,18 г","13,44 г",0 г
"Баранина австралийская, Нога передняя, с лопаткой, мясо и жир, обрезь до 1/8'' жира, сырая",256 кКал,"16,68 г","20,47 г",0 г
"Баранина австралийская, нога целая,  только мясо, обрезь до 1/8'' жира, жаренная",190 кКал,"27,31 г","8,1 г",0 г
"Баранина австралийская, нога целая, мясо и жир, обрезь до 1/8'' жира, сырая",215 кКал,"18,24 г","15,19 г",0 г
"Баранина австралийская, нога, целая, мясо и жир, обрезь до 1/8'' жира, жаренная",244 кКал,"25,16 г","15,13 г",0 г
"Баранина австралийская, нога, целая, только мясо, обрезь до 1/8'' жира, сырая",135 кКал,"20,46 г","5,23 г",0 г
"Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",215 кКал,"25,54 г","11,78 г",0 г
"Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, сырая",195 кКал,"19,17 г","12,56 г",0 г
"Баранина австралийская, нога, центральная часть на кости, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне",183 кКал,"26,75 г","7,68 г",0 г
"Баранина австралийская, нога, центральная часть на кости, только мясо, обрезь до 1/8'' жира, сырая",143 кКал,"20,65 г","6,08 г",0 г
"Баранина австралийская, ребра, мясо и жир, обрезь до 1/8'' жира, жаренная",277 кКал,"22,24 г","20,21 г",0 г
"Баранина австралийская, ребра, мясо и жир, обрезь до 1/8'' жира, сырая",237 кКал,"21,26 г","16,89 г",0 г
"Баранина австралийская, ребра, только мясо, обрезь до 1/8'' жира, жаренная",210 кКал,"24,63 г","11,6 г",0 г
"Баранина австралийская, ребра, только мясо, обрезь до 1/8'' жира, сырая",147 кКал,"24,07 г","5,59 г",0 г
"Баранина австралийская, рулька, мясо и жир, обрезь до 1/8"" жира, сырая",195 кКал,"18,85 г","12,68 г",0 г
"Баранина австралийская, рулька, мясо и жир, обрезь до 1/8"" жира, тушеная",236 кКал,"24,78 г","14,44 г",0 г
"Баранина австралийская, рулька, только мясо, обрезь до 1/8"" жира, сырая",123 кКал,"20,83 г","3,81 г",0 г
"Баранина австралийская, рулька, только мясо, обрезь до 1/8"" жира, тушеная",165 кКал,"27,5 г","5,22 г",0 г
"Баранина австралийская, филейная часть, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",219 кКал,"25,49 г","12,25 г",0 г
"Баранина австралийская, филейная часть, мясо и жир, обрезь до 1/8'' жира, сырая",203 кКал,"19,32 г","13,38 г",0 г
"Баранина австралийская, филейная часть, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне",192 кКал,"26,53 г","8,75 г",0 г
"Баранина австралийская, филейная часть, только мясо, обрезь до 1/8'' жира, сырая",146 кКал,21 г,"6,24 г",0 г
"Баранина жареная, по 1-396",264 кКал,"22,4 г","19,4 г",0 г
"Баранина отварная, по 1-392",244 кКал,"21,8 г","17,4 г",0 г
"Баранина тушеная, консервы",191 кКал,"17,4 г","13,4 г","0,2 г"
"Баранина тушеная, по 1-422",170 кКал,"10,3 г","12,7 г","3,6 г"
"Баранина, голяшка",201 кКал,"18,58 г","13,49 г",0 г
"Баранина, голяшка, запеченная",225 кКал,"26,41 г","12,45 г",0 г
"Баранина, голяшка, только мясо",125 кКал,"20,52 г","4,19 г",0 г
"Баранина, голяшка, только мясо, запеченная",180 кКал,"28,17 г","6,67 г",0 г
"Баранина, грудинка мякоть",288 кКал,14 г,"25,8 г",0 г
"Баранина, корейка",310 кКал,"16,32 г","26,63 г",0 г
"Баранина, корейка мякоть",255 кКал,"15,9 г","21,5 г",0 г
"Баранина, корейка, жаренная на открытом огне",316 кКал,"25,17 г","23,08 г",0 г
"Баранина, корейка, запеченная",309 кКал,"22,55 г","23,59 г",0 г
"Баранина, корейка, мясо и жир, обрезь до 1/8'' жира, отборная, жареная",290 кКал,"23,27 г","21,12 г",0 г
"Баранина, корейка, мясо и жир, обрезь до 1/8'' жира, отборная, жареная на открытом огне",297 кКал,"26,06 г","20,61 г",0 г
"Баранина, корейка, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",279 кКал,"17,18 г","22,75 г",0 г
"Баранина, корейка, только мясо",143 кКал,"20,88 г","5,94 г",0 г
"Баранина, корейка, только мясо, жаренная на открытом огне",216 кКал,"29,99 г","9,73 г",0 г
"Баранина, корейка, только мясо, запеченная",202 кКал,"26,59 г","9,76 г",0 г
"Баранина, котлетное мясо",238 кКал,16 г,"19,3 г",0 г
"Баранина, лопаточная часть",199 кКал,"16,1 г","14,9 г",0 г
"Баранина, нога целая (с голяшкой и оковалком)",230 кКал,"17,91 г","17,07 г",0 г
"Баранина, нога целая (с голяшкой и оковалком), запеченная",258 кКал,"25,55 г","16,48 г",0 г
"Баранина, нога целая (с голяшкой и оковалком), только мясо",128 кКал,"20,56 г","4,51 г",0 г
"Баранина, нога целая (с голяшкой и оковалком), только мясо, запеченная",191 кКал,"28,3 г","7,74 г",0 г
"Баранина, пашина",205 кКал,"17,6 г","14,9 г",0 г
"Баранина, плечевая и лопаточная части",264 кКал,"16,58 г","21,45 г",0 г
"Баранина, плечевая и лопаточная части, жаренная на открытом огне",278 кКал,"24,42 г","19,26 г",0 г
"Баранина, плечевая и лопаточная части, жаренная на открытом огне",210 кКал,"27,12 г","10,5 г",0 г
"Баранина, плечевая и лопаточная части, запеченная",276 кКал,"22,51 г","19,97 г",0 г
"Баранина, плечевая и лопаточная части, только мясо",144 кКал,"19,55 г","6,76 г",0 г
"Баранина, плечевая и лопаточная части, только мясо, запеченная",204 кКал,"24,94 г","10,77 г",0 г
"Баранина, плечевая и лопаточная части, только мясо, тушеная",283 кКал,"32,81 г","15,89 г",0 г
"Баранина, плечевая и лопаточная части, тушеная",344 кКал,"28,68 г","24,55 г",0 г
"Баранина, ребра",372 кКал,"14,52 г","34,39 г",0 г
"Баранина, ребра, жаренные на открытом огне",361 кКал,"22,13 г","29,59 г",0 г
"Баранина, ребра, запеченные",359 кКал,"21,12 г","29,82 г",0 г
"Баранина, ребра, только мясо",169 кКал,"19,98 г","9,23 г",0 г
"Баранина, ребра, только мясо, жаренные на открытом огне",235 кКал,"27,74 г","12,95 г",0 г
"Баранина, ребра, только мясо, запеченные",232 кКал,"26,16 г","13,31 г",0 г
"Баранина, рулька",201 кКал,"18,91 г","13,38 г",0 г
"Баранина, рулька тушеная",243 кКал,"28,37 г","13,46 г",0 г
"Баранина, рулька, только мясо",120 кКал,"21,08 г","3,29 г",0 г
"Баранина, рулька, только мясо, тушеная",187 кКал,"31,01 г","6,02 г",0 г
